"Time Domain Body Activity  Average-X"	"Time Domain Body Activity  Average-Y"	"Time Domain Body Activity  Average-Z"	"Time Domain Gravity Activity  Average-X"	"Time Domain Gravity Activity  Average-Y"	"Time Domain Gravity Activity  Average-Z"	"Time Domain Body Activity Jerk Average-X"	"Time Domain Body Activity Jerk Average-Y"	"Time Domain Body Activity Jerk Average-Z"	"Time Domain Body Activity Mag Average"	"Time Domain Gravity Activity Mag Average"	"Time Domain Body Activity JerkMag Average"	"Frequency Domain Body Activity  Average-X"	"Frequency Domain Body Activity  Average-Y"	"Frequency Domain Body Activity  Average-Z"	"Frequency Domain Body Activity Jerk Average-X"	"Frequency Domain Body Activity Jerk Average-Y"	"Frequency Domain Body Activity Jerk Average-Z"	"Frequency Domain Body Activity Mag Average"	"Frequency Domain BodyBody Activity JerkMag Average"
0.28858451	-0.020294171	-0.13290514	0.96339614	-0.14083968	0.11537494	0.077996345	0.0050008031	-0.067830808	-0.95943388	-0.95943388	-0.99330586	-0.99478319	-0.9829841	-0.93926865	-0.99233245	-0.98716991	-0.98969609	-0.95215466	-0.99372565
0.27841883	-0.016410568	-0.12352019	0.96656113	-0.14155127	0.10937881	0.074006709	0.0057711041	0.029376633	-0.97928915	-0.97928915	-0.99125349	-0.99745072	-0.97685173	-0.97352267	-0.99503222	-0.98131147	-0.98973975	-0.98085662	-0.99033549
0.27965306	-0.019467156	-0.11346169	0.9668781	-0.14200984	0.10188392	0.073635962	0.0031040366	-0.0090456308	-0.98370313	-0.98370313	-0.98853127	-0.99359409	-0.97251146	-0.98330396	-0.9909937	-0.98164225	-0.98756628	-0.98779477	-0.98928007
0.27917394	-0.026200646	-0.12328257	0.96761519	-0.14397645	0.099850143	0.077320614	0.020057642	-0.0098647722	-0.98654176	-0.98654176	-0.99307804	-0.99549062	-0.98356972	-0.99107978	-0.99444663	-0.98872722	-0.99135422	-0.98751866	-0.99276892
0.27662877	-0.016569655	-0.11536185	0.9682244	-0.14875022	0.094485896	0.073444363	0.019121574	0.016779979	-0.99282715	-0.99282715	-0.99348	-0.99728592	-0.98230099	-0.98836944	-0.99629204	-0.98879002	-0.99062442	-0.99359085	-0.99552281
0.27719877	-0.01009785	-0.10513725	0.9679482	-0.14820997	0.091909715	0.077932436	0.018684046	0.0093444336	-0.99429499	-0.99429499	-0.9930177	-0.99665675	-0.9869395	-0.9927386	-0.99485071	-0.98824433	-0.99015748	-0.99483599	-0.99473292
0.27945388	-0.019640776	-0.11002215	0.9679295	-0.14428214	0.093144628	0.082170765	-0.01701467	-0.015798166	-0.9874657	-0.9874657	-0.9913143	-0.99584913	-0.96761161	-0.98412325	-0.99475512	-0.98324029	-0.98733724	-0.98213471	-0.9878858
0.27743247	-0.030488303	-0.12536043	0.96849148	-0.14670536	0.091708159	0.072364228	0.0087478559	-0.0044681354	-0.97745766	-0.97745766	-0.99085085	-0.99519276	-0.97429127	-0.98865193	-0.99494703	-0.9807555	-0.99083807	-0.98218413	-0.98985144
0.27729342	-0.021750698	-0.12075082	0.96848115	-0.15437401	0.085118255	0.075284365	0.030762704	0.01121195	-0.98363087	-0.98363087	-0.99332542	-0.99709991	-0.96820527	-0.99063224	-0.99669274	-0.98019053	-0.99630723	-0.9831308	-0.99207263
0.28058569	-0.0099602983	-0.10606516	0.96841804	-0.15630201	0.08087447	0.076369318	0.012518906	0.0030843751	-0.98677197	-0.98677197	-0.98538815	-0.99351933	-0.97031864	-0.98609566	-0.99153425	-0.97084854	-0.98677551	-0.98499403	-0.98231683
